Nome,Ano,País,"Link para busca manual (Google Imagens)"
"Rodolfo Pini",1950,Uruguai,https://www.google.com/search?tbm=isch&q=Rodolfo+Pini+football+1950
"Julio César Britos",1950,Uruguai,https://www.google.com/search?tbm=isch&q=Julio+C%C3%A9sar+Britos+football+1950
"Washington Ortuño",1950,Uruguai,https://www.google.com/search?tbm=isch&q=Washington+Ortu%C3%B1o+football+1950
"Toni Turek",1954,"Alemanha Ocidental",https://www.google.com/search?tbm=isch&q=Toni+Turek+football+1954
"Heinz Kubsch",1954,"Alemanha Ocidental",https://www.google.com/search?tbm=isch&q=Heinz+Kubsch+football+1954
"Heinrich Kwiatkowski",1954,"Alemanha Ocidental",https://www.google.com/search?tbm=isch&q=Heinrich+Kwiatkowski+football+1954
"Hans Bauer",1954,"Alemanha Ocidental",https://www.google.com/search?tbm=isch&q=Hans+Bauer+football+1954
"Alfred Pfaff",1954,"Alemanha Ocidental",https://www.google.com/search?tbm=isch&q=Alfred+Pfaff+football+1954
"Bernhard Klodt",1954,"Alemanha Ocidental",https://www.google.com/search?tbm=isch&q=Bernhard+Klodt+football+1954
"Richard Herrmann",1954,"Alemanha Ocidental",https://www.google.com/search?tbm=isch&q=Richard+Herrmann+football+1954
"Hílderaldo Luís Bellini",1958,Brasil,https://www.google.com/search?tbm=isch&q=H%C3%ADlderaldo+Lu%C3%ADs+Bellini+football+1958
"Valdir Pereira Didi",1958,Brasil,https://www.google.com/search?tbm=isch&q=Valdir+Pereira+Didi+football+1958
"José Ely de Miranda Zito",1958,Brasil,https://www.google.com/search?tbm=isch&q=Jos%C3%A9+Ely+de+Miranda+Zito+football+1958
"Dino Sani",1958,Brasil,https://www.google.com/search?tbm=isch&q=Dino+Sani+football+1958
"Mário Jorge Lobo Zagallo",1958,Brasil,https://www.google.com/search?tbm=isch&q=M%C3%A1rio+Jorge+Lobo+Zagallo+football+1958
"Edvaldo Izídio Neto Vavá",1958,Brasil,https://www.google.com/search?tbm=isch&q=Edvaldo+Iz%C3%ADdio+Neto+Vav%C3%A1+football+1958
"Ildásio Dias Costa Manga",1962,Brasil,https://www.google.com/search?tbm=isch&q=Ild%C3%A1sio+Dias+Costa+Manga+football+1962
"José Ely de Miranda Zito",1962,Brasil,https://www.google.com/search?tbm=isch&q=Jos%C3%A9+Ely+de+Miranda+Zito+football+1962
"Mengálvio Figueiredo",1962,Brasil,https://www.google.com/search?tbm=isch&q=Meng%C3%A1lvio+Figueiredo+football+1962
"José Augusto Coutinho",1962,Brasil,https://www.google.com/search?tbm=isch&q=Jos%C3%A9+Augusto+Coutinho+football+1962
"Wilson Orlando Pereira Brito",1970,Brasil,https://www.google.com/search?tbm=isch&q=Wilson+Orlando+Pereira+Brito+football+1970
"Dario José dos Santos Dadá Maravilha",1970,Brasil,https://www.google.com/search?tbm=isch&q=Dario+Jos%C3%A9+dos+Santos+Dad%C3%A1+Maravilha+football+1970
"Jorge Burruchaga",1986,Argentina,https://www.google.com/search?tbm=isch&q=Jorge+Burruchaga+football+1986
"Pierre Littbarski",1990,Alemanha,https://www.google.com/search?tbm=isch&q=Pierre+Littbarski+football+1990
"Thomas Häßler",1990,Alemanha,https://www.google.com/search?tbm=isch&q=Thomas+H%C3%A4%C3%9Fler+football+1990
"Cláudio André Mergen Taffarel",1994,Brasil,https://www.google.com/search?tbm=isch&q=Cl%C3%A1udio+Andr%C3%A9+Mergen+Taffarel+football+1994
"Carlos Caetano Bledorn Verri Dunga",1994,Brasil,https://www.google.com/search?tbm=isch&q=Carlos+Caetano+Bledorn+Verri+Dunga+football+1994
"Leonardo Nascimento de Araújo",1994,Brasil,https://www.google.com/search?tbm=isch&q=Leonardo+Nascimento+de+Ara%C3%BAjo+football+1994
"Romário de Souza Faria",1994,Brasil,https://www.google.com/search?tbm=isch&q=Rom%C3%A1rio+de+Souza+Faria+football+1994
"José Roberto Gama de Oliveira Bebeto",1994,Brasil,https://www.google.com/search?tbm=isch&q=Jos%C3%A9+Roberto+Gama+de+Oliveira+Bebeto+football+1994
"Antônio Carlos Bicalho Guimarães Viola",1994,Brasil,https://www.google.com/search?tbm=isch&q=Ant%C3%B4nio+Carlos+Bicalho+Guimar%C3%A3es+Viola+football+1994
"Luís Henrique Conquistador Müller",1994,Brasil,https://www.google.com/search?tbm=isch&q=Lu%C3%ADs+Henrique+Conquistador+M%C3%BCller+football+1994
"Zinedine Yazid Zidane",1998,França,https://www.google.com/search?tbm=isch&q=Zinedine+Yazid+Zidane+football+1998
"Nelson de Jesus Silva Dida",2002,Brasil,https://www.google.com/search?tbm=isch&q=Nelson+de+Jesus+Silva+Dida+football+2002
"Amoroso Juninho Paulista",2002,Brasil,https://www.google.com/search?tbm=isch&q=Amoroso+Juninho+Paulista+football+2002
"Ronaldo de Assis Moreira Ronaldinho Gaúcho",2002,Brasil,https://www.google.com/search?tbm=isch&q=Ronaldo+de+Assis+Moreira+Ronaldinho+Ga%C3%BAcho+football+2002
"Denílson de Oliveira Araújo",2002,Brasil,https://www.google.com/search?tbm=isch&q=Den%C3%ADlson+de+Oliveira+Ara%C3%BAjo+football+2002
"Luiz Henrique da Silva Luizão",2002,Brasil,https://www.google.com/search?tbm=isch&q=Luiz+Henrique+da+Silva+Luiz%C3%A3o+football+2002
"David Josué Jiménez Silva",2010,Espanha,https://www.google.com/search?tbm=isch&q=David+Josu%C3%A9+Jim%C3%A9nez+Silva+football+2010
