"Nome do Jogador","Ano da Copa",País
"Pedro Cea",1930,Uruguai
"Santos Iriarte",1930,Uruguai
"Giuseppe Meazza",1934,Itália
"Aldo Olivieri",1938,Itália
"Guido Masetti",1938,Itália
"Carlo Ceresoli",1938,Itália
"Alfredo Foni",1938,Itália
"Pietro Rava",1938,Itália
"Aníbal Paz",1950,Uruguai
"Matías González",1950,Uruguai
"Eusebio Tejera",1950,Uruguai
"Juan Carlos González",1950,Uruguai
"Víctor Rodríguez Andrade",1950,Uruguai
"Obdulio Varela",1950,Uruguai
"Rodolfo Pini",1950,Uruguai
"Julio César Britos",1950,Uruguai
"Washington Ortuño",1950,Uruguai
"Óscar Míguez",1950,Uruguai
"Toni Turek",1954,"Alemanha Ocidental"
"Heinz Kubsch",1954,"Alemanha Ocidental"
"Heinrich Kwiatkowski",1954,"Alemanha Ocidental"
"Hans Bauer",1954,"Alemanha Ocidental"
"Ottmar Walter",1954,"Alemanha Ocidental"
"Alfred Pfaff",1954,"Alemanha Ocidental"
"Bernhard Klodt",1954,"Alemanha Ocidental"
"Max Morlock",1954,"Alemanha Ocidental"
"Hans Schäfer",1954,"Alemanha Ocidental"
"Richard Herrmann",1954,"Alemanha Ocidental"
"Hílderaldo Luís Bellini",1958,Brasil
"Valdir Pereira Didi",1958,Brasil
"José Ely de Miranda Zito",1958,Brasil
"Dino Sani",1958,Brasil
"Mário Jorge Lobo Zagallo",1958,Brasil
"Edvaldo Izídio Neto Vavá",1958,Brasil
"Ildásio Dias Costa Manga",1962,Brasil
"José Ely de Miranda Zito",1962,Brasil
"Valdir Pereira Didi",1962,Brasil
"Mengálvio Figueiredo",1962,Brasil
"Amarildo Tavares da Silveira",1962,Brasil
"Edvaldo Izídio Neto Vavá",1962,Brasil
"José Augusto Coutinho",1962,Brasil
"Félix Miéli Venerando",1970,Brasil
"Carlos Alberto Torres",1970,Brasil
"Wilson Orlando Pereira Brito",1970,Brasil
"Jair Ventura Filho Jairzinho",1970,Brasil
"Eduardo Gonçalves de Andrade Tostão",1970,Brasil
"Roberto Rivelino",1970,Brasil
"Dario José dos Santos Dadá Maravilha",1970,Brasil
"Sepp Maier",1974,"Alemanha Ocidental"
"Paul Breitner",1974,"Alemanha Ocidental"
"Ricardo Villa",1978,Argentina
"Daniel Bertoni",1978,Argentina
"Leopoldo Luque",1978,Argentina
"Ivano Bordon",1982,Itália
"José Luis Brown",1986,Argentina
"Oscar Ruggeri",1986,Argentina
"Néstor Clausen",1986,Argentina
"Julio Olarticoechea",1986,Argentina
"Jorge Burruchaga",1986,Argentina
"Pierre Littbarski",1990,Alemanha
"Thomas Häßler",1990,Alemanha
"Karl-Heinz Riedle",1990,Alemanha
"Cláudio André Mergen Taffarel",1994,Brasil
"Carlos Caetano Bledorn Verri Dunga",1994,Brasil
"Leonardo Nascimento de Araújo",1994,Brasil
"Romário de Souza Faria",1994,Brasil
"José Roberto Gama de Oliveira Bebeto",1994,Brasil
"Antônio Carlos Bicalho Guimarães Viola",1994,Brasil
"Luís Henrique Conquistador Müller",1994,Brasil
"Zinedine Yazid Zidane",1998,França
"Nelson de Jesus Silva Dida",2002,Brasil
"Amoroso Juninho Paulista",2002,Brasil
"Ronaldo de Assis Moreira Ronaldinho Gaúcho",2002,Brasil
"Denílson de Oliveira Araújo",2002,Brasil
"Luiz Henrique da Silva Luizão",2002,Brasil
"David Josué Jiménez Silva",2010,Espanha
